user_id,level,paused,chrome_notifs,language,last_question_time,week_freak,daily_streak,daily_progress,daily_goal,density,highlightStyle,bonus_points
733578cf-dce4-4101-b3c7-82d697019353,10,,TRUE,Bulgarian,2025-02-11 02:45:50.529+00,"[0,0,0,0,0,0,0]",0,0,20,10,highlight,
7a3fb8c8-efc2-4597-aa8f-ab21c528b514,1,,TRUE,Korean,2024-09-25 07:31:02.006+00,"[0,0,0,0,0,0,0]",0,0,10,100,underline,
80c10aa0-0638-4683-8b0e-81743e2e512a,2,,TRUE,Tamil,2024-09-24 06:51:34.894+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
819cbf66-fd47-4000-9e89-80c1736d1002,3,,TRUE,Spanish,2024-07-08 23:01:22.35+00,"[0,0,0,0,0,0,0]",0,0,20,100,underline,
85bf9e83-7471-4d20-8241-81c9c7287ca2,1,,TRUE,French,2024-06-26 05:58:57.846+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
85db5d88-12d5-49f7-8793-a0d2f62ac738,6,,TRUE,GlizzyTalk,2025-01-21 07:12:48.975+00,"[0,0,0,0,0,0,0]",0,0,30,100,highlight,
87916478-5b72-451a-8dc1-a26675edc202,2,,TRUE,Tiktok Slang,2024-06-26 09:32:13.046+00,"[0,0,0,0,0,0,0]",0,0,20,30,underline,
87f029ea-b8d4-4501-98de-b1c119388709,1,,TRUE,Korean,2025-01-20 14:47:50.17+00,"[0,0,0,0,0,0,0]",0,0,20,30,underline,
8963c7ff-4e29-4cd5-99ef-954d3dcfc772,1,,TRUE,Mandarin Chinese,2024-07-24 09:45:40.11+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
89e38037-1daa-46fe-bdbc-a9b50f68dd5f,2,,TRUE,French,2024-11-27 00:41:07.313+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
8f4401f3-ff37-4bc2-b300-f6e55d230f69,1,,TRUE,Spanish,2024-09-13 20:20:37.374+00,"[0,0,0,0,0,0,0]",0,0,20,30,underline,
8f5668ce-f5b2-409a-9a80-b9cf0c17d306,1,,TRUE,Spanish,2024-10-22 22:05:08.499+00,"[0,0,0,0,0,0,0]",0,0,10,30,underline,
907aa469-b058-4c5e-9cee-ed9dbcccc30b,2,,TRUE,GRE Vocabulary,2024-07-05 09:45:49.472+00,"[0,0,0,0,0,0,0]",0,0,40,30,underline,
94d91aaa-e69a-44c9-863d-16607480b153,1,,TRUE,Mandarin Chinese,2024-11-07 01:53:20.519+00,"[0,0,0,0,0,0,0]",0,0,100,30,underline,
958f292b-431d-429c-8127-4e790da96f5e,1,,TRUE,Spanish,2024-11-14 02:13:22.833+00,"[0,0,0,0,0,0,0]",0,0,10,0,underline,
97ee4d37-9d30-480e-963b-3c6f948018ad,1,,TRUE,French,2025-02-07 17:22:49.355+00,"[0,0,0,0,0,0,0]",0,0,30,40,underline,
9d03b335-702b-4a46-8d51-75aff611f7c0,1,,TRUE,Mandarin Chinese,2024-10-09 15:27:09.441+00,"[0,0,0,0,0,0,0]",0,0,60,100,underline,
9d697590-7799-4658-820b-85812b1962d6,2,,TRUE,Russian,2024-10-09 19:45:57.264+00,"[0,0,0,0,0,0,0]",0,0,100,30,underline,
9daa95e6-bb48-4eff-9f0b-ae0f3623d3e4,1,,TRUE,Spanish,2024-07-21 22:40:57.79+00,"[0,0,0,0,0,0,0]",0,0,10,10,underline,
a1fb5342-9fef-4fb7-9b1e-d77f0a79baa4,2,,TRUE,French,2025-01-19 04:14:03.127+00,"[0,0,0,0,0,0,0]",0,0,100,30,underline,
