user_id,language,level
cc0e3d6f-3b20-40c2-a3fe-2dc59cf58c50,Mandarin Chinese,3
cce3cdfa-906e-4563-a302-e7a11731d0e2,Tamil,2
cd7531b5-929e-4a66-9f3f-0f85caa0b929,Spanish,2
cd9378b2-66c7-4d80-a08e-40ea7ab37a92,Italian,6
cfb5b889-a5ca-4613-b8fe-2f1ab519f6f4,Russian,1
cfb5b889-a5ca-4613-b8fe-2f1ab519f6f4,Tiktok Slang,3
daadadf1-b842-4a09-9352-5cf4c459c54e,Tamil,10
db75c9b3-c50e-40d5-b706-5bd3bcee2527,Korean,3
dbb483db-1e5e-4d7b-a3c7-5581fa6dffeb,SAT Vocabulary,4
dd8e019c-4f68-4f58-a2b8-d3eca2cde2b7,German,1
dfd280a3-4e3a-43ad-a533-0a714885d572,Bengali,9
dfd280a3-4e3a-43ad-a533-0a714885d572,Croatian,4
dfd280a3-4e3a-43ad-a533-0a714885d572,Tamil,8
e3256652-546e-44a4-9966-5e9732699183,Mandarin Chinese,10
e3256652-546e-44a4-9966-5e9732699183,SAT Vocabulary,3
e42db482-b3fb-4d49-82ac-448f63744dd5,German,1
ee7ff0c6-5aba-46a5-88fb-4243a7032d00,Mandarin Chinese,10
f11139a8-fe1d-4823-b3f1-249a0c17ed67,Russian,6
f1f4bd58-a3d2-45da-8179-474f2368456b,Spanish,1
f4095df7-febf-489b-be22-3cf02d090547,Portuguese,2
f9034378-44b5-4ab5-babd-dfe40c4ca89b,German,1
fa40be07-8840-48f0-bfa4-66a6a0230e09,Tagalog,1
ff8b22f3-fa07-41cf-9d68-79caf67442d9,Korean,7
ff8b22f3-fa07-41cf-9d68-79caf67442d9,Spanish,10
ff8b22f3-fa07-41cf-9d68-79caf67442d9,Tamil,10
